ID,Name,canonicalName,GBIF_ID,GBIF_NAME,rank,kingdom,phylum,class_,order,family,genus,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey
acanthosicyosnaudinianus,Acanthosicyos naudinianus,Pseudocucumis naudinianus,7819597,Pseudocucumis naudinianus (Sond.) C.Jeffrey,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Cucurbitales,Cucurbitaceae,Pseudocucumis,6,7707728,220,7224005,6634,8192611
acanthospermumhispidum,Acanthospermum hispidum,Acanthospermum hispidum,3100375,Acanthospermum hispidum DC.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Acanthospermum,6,7707728,220,414,3065,3100362
accipiterbadius,Accipiter badius,Accipiter badius,2480610,"Accipiter badius (Gmelin, 1788)",SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,1,44,212,7191147,2877,9405810
achyranthesaspera,Achyranthes aspera,Achyranthes aspera,3085168,Achyranthes aspera L.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,6,7707728,220,422,3064,3085166
acinonyxjubatus,Acinonyx jubatus,Acinonyx jubatus,2435270,"Acinonyx jubatus (Schreber, 1775)",SPECIES,Animalia,Chordata,Mammalia,Carnivora,Felidae,Acinonyx,1,44,359,732,9703,2435269
acrididae,Acrididae,Acrididae,9394,Acrididae,FAMILY,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,,1,54,216,1458,9394,
acrotomeinflata,Acrotome inflata,Acrotome inflata,3893741,Acrotome inflata Benth.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Acrotome,6,7707728,220,408,2497,7367369
adansoniadigitata,Adansonia digitata,Adansonia digitata,5406695,Adansonia digitata L.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malvales,Malvaceae,Adansonia,6,7707728,220,941,6685,3152213
adeniarepanda,Adenia repanda,Adenia repanda,5527633,Adenia repanda Engl.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Passifloraceae,Adenia,6,7707728,220,1414,2378,3231271
adeniumoleifolium,Adenium oleifolium,Adenium obesum oleifolium,3619267,Adenium obesum subsp. oleifolium (Stapf) G.D.Rowley,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Adenium,6,7707728,220,412,6701,7155880
aegypiinae,Aegypiinae,,,,,,,,,,,,,,,,
aepycerosmelampus,Aepyceros melampus,Aepyceros melampus,2441144,"Aepyceros melampus (Lichtenstein, 1812)",SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,1,44,359,731,9614,2441143
aepycerosmelampusmelampus,Aepyceros melampus melampus,Aepyceros melampus melampus,7261451,Aepyceros melampus melampus,SUBSPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,1,44,359,731,9614,2441143
aepycerosmelampuspetersi,Aepyceros melampus petersi,Aepyceros melampus petersi,4262729,"Aepyceros melampus petersi Bocage, 1879",SUBSPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros,1,44,359,731,9614,2441143
aervaleucura,Aerva leucura,Aerva leucura,3674001,Aerva leucura Moq.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Aerva,6,7707728,220,422,3064,3085013
aethomysnamaquensis,Aethomys namaquensis,Micaelamys namaquensis,4264922,"Micaelamys namaquensis (A.Smith, 1834)",SPECIES,Animalia,Chordata,Mammalia,Rodentia,Muridae,Micaelamys,1,44,359,1459,5510,4264921
agamaaculeata,Agama aculeata,Agama aculeata,5226280,"Agama aculeata Merrem, 1820",SPECIES,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,1,44,358,715,9199,9196151
agamaagama,Agama agama,Agama agama,5226308,"Agama agama (Linnaeus, 1758)",SPECIES,Animalia,Chordata,Reptilia,Squamata,Agamidae,Agama,1,44,358,715,9199,9196151
agriusconvolvuli,Agrius convolvuli,Agrius convolvuli,1861644,"Agrius convolvuli (Linnaeus, 1758)",SPECIES,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Agrius,1,54,216,797,8868,1861607
albiziaanthelmintica,Albizia anthelmintica,Albizia anthelmintica,2973214,Albizia anthelmintica Brongn.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,6,7707728,220,1370,5386,2972897
albiziaharveyi,Albizia harveyi,Albizia harveyi,2973104,Albizia harveyi Fourn.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Albizia,6,7707728,220,1370,5386,2972897
albucaabyssinica,Albuca abyssinica,Albuca abyssinica,2772379,Albuca abyssinica Jacq.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Albuca,6,7707728,196,1169,7683,2772295
albucaamboensis,Albuca amboensis,Albuca amboensis,2772479,Albuca amboensis (Schinz) Oberm.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Albuca,6,7707728,196,1169,7683,2772295
alcelaphusbuselaphus,Alcelaphus buselaphus,Alcelaphus buselaphus,5220185,"Alcelaphus buselaphus (Pallas, 1766)",SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Alcelaphus,1,44,359,731,9614,2441202
alectraorobanchoides,Alectra orobanchoides,Alectra orobanchoides,3724536,Alectra orobanchoides Benth.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Orobanchaceae,Alectra,6,7707728,220,408,6651,3172194
alliumcepa,Allium cepa,Allium cepa,2857697,Allium cepa L.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,6,7707728,196,1169,7682,9624496
aloe,Aloe,,,,,,,,,,,,,,,,
aloecryptopoda,Aloe cryptopoda,Aloe cryptopoda,2778110,Aloe cryptopoda Baker,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879
aloezebrina,Aloe zebrina,Aloe zebrina,2777656,Aloe zebrina Baker,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asphodelaceae,Aloe,6,7707728,196,1169,4259209,2770879
alopochenaegyptiaca,Alopochen aegyptiaca,Alopochen aegyptiaca,2498252,"Alopochen aegyptiaca (Linnaeus, 1766)",SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Alopochen,1,44,212,1108,2986,2498251
amadinaerythrocephala,Amadina erythrocephala,Amadina erythrocephala,2493708,"Amadina erythrocephala (Linnaeus, 1758)",SPECIES,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Amadina,1,44,212,729,5709,2493706
amaranthusdinteri,Amaranthus dinteri,Amaranthus dinteri,7323269,Amaranthus dinteri Schinz,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,6,7707728,220,422,3064,3085074
amblysomushottentotus,Amblysomus hottentotus,Amblysomus hottentotus,5218439,"Amblysomus hottentotus (A.Smith, 1829)",SPECIES,Animalia,Chordata,Mammalia,Afrosoricida,Chrysochloridae,Amblysomus,1,44,359,828,5297,9288749
amietiaangolensis,Amietia angolensis,Amietia angolensis,2429944,"Amietia angolensis (Bocage, 1866)",SPECIES,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Amietia,1,44,131,952,3094,2429933
amitermes,Amitermes,Amitermes,2007285,"Amitermes Silvestri, 1901",GENUS,Animalia,Arthropoda,Insecta,Blattodea,Termitidae,Amitermes,1,54,216,800,4355,2007285
ammochariscoranica,Ammocharis coranica,Ammocharis coranica,5325614,Ammocharis coranica Herb.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Ammocharis,6,7707728,196,1169,7682,2853298
ampelocissusobtusata,Ampelocissus obtusata,Ampelocissus obtusata,4053552,Ampelocissus obtusata Planch.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Vitales,Vitaceae,Ampelocissus,6,7707728,220,7222050,6672,7293766
anaserythrorhyncha,Anas erythrorhyncha,Anas erythrorhyncha,2498064,"Anas erythrorhyncha Gmelin, 1789",SPECIES,Animalia,Chordata,Aves,Anseriformes,Anatidae,Anas,1,44,212,1108,2986,2498056
anatidae,Anatidae,Anatidae,2986,Anatidae,FAMILY,Animalia,Chordata,Aves,Anseriformes,Anatidae,,1,44,212,1108,2986,
andropogongayanus,Andropogon gayanus,Andropogon gayanus,2706112,Andropogon gayanus Kunth,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Andropogon,6,7707728,196,1369,3073,2706077
animalia,Animalia,Animalia,1,Animalia,KINGDOM,Animalia,,,,,,1,,,,,
anisoptera,Anisoptera,Anisoptera,9747581,Anisoptera,GENUS,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Anisoptera,1,54,216,789,5936,9747581
annonastenophylla,Annona stenophylla,Annona stenophylla,5407200,Annona stenophylla Engl. & Diels,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Magnoliales,Annonaceae,Annona,6,7707728,220,718,9291,3155252
anobiidae,Anobiidae,Anobiidae,7770,Anobiidae,FAMILY,Animalia,Arthropoda,Insecta,Coleoptera,Anobiidae,,1,54,216,1470,7770,
anthephorapubescens,Anthephora pubescens,Anthephora pubescens,4135365,Anthephora pubescens Nees,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Anthephora,6,7707728,196,1369,3073,2702935
anthephoraschinzii,Anthephora schinzii,Anthephora schinzii,4135330,Anthephora schinzii Hack.,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Anthephora,6,7707728,196,1369,3073,2702935
anthoscopusminutus,Anthoscopus minutus,Anthoscopus minutus,2487393,"Anthoscopus minutus (Shaw, 1812)",SPECIES,Animalia,Chordata,Aves,Passeriformes,Remizidae,Anthoscopus,1,44,212,729,9344,2487386
anthus,Anthus,Anthus,2490241,"Anthus Bechstein, 1805",GENUS,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Anthus,1,44,212,729,5257,2490241
antidorcasmarsupialis,Antidorcas marsupialis,Antidorcas marsupialis,2441064,"Antidorcas marsupialis (Zimmermann, 1780)",SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas,1,44,359,731,9614,2441063
antizomaangustifolia,Antizoma angustifolia,Antizoma angustifolia,3830390,Antizoma angustifolia Miers ex Harv. & Sond.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Menispermaceae,Antizoma,6,7707728,220,399,2411,7268750
anura,Anura,Anura,952,Anura,ORDER,Animalia,Chordata,Amphibia,Anura,,,1,44,131,952,,
aonyxcapensis,Aonyx capensis,Aonyx capensis,2433900,"Aonyx capensis (Schinz, 1821)",SPECIES,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Aonyx,1,44,359,732,5307,2433893
apidae,Apidae,Apidae,4334,Apidae,FAMILY,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,,1,54,216,1457,4334,
apis,Apis,Apis,157813263,Apis,GENUS,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,157533281,157574913,157577103,157792623,157809564,157813263
apismellifera,Apis mellifera,Apis mellifera,1341976,"Apis mellifera Linnaeus, 1758",SPECIES,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Apis,1,54,216,1457,4334,7799978
apocrita,Apocrita,Apocrita,100546621,"Apocrita Gerstaecker, 1867",SUBORDER,,,Insecta,Hymenoptera,,,,,165196334,100546906,,
aponogetonrehmannii,Aponogeton rehmannii,Aponogeton rehmannii,5328554,Aponogeton rehmannii Oliv.,SPECIES,Plantae,Tracheophyta,Liliopsida,Alismatales,Aponogetonaceae,Aponogeton,6,7707728,196,551,7678,7971839
aptosimum,Aptosimum,Aptosimum,8037073,Aptosimum Burch.,GENUS,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Aptosimum,6,7707728,220,408,2390,8037073
aptosimumalbomarginatum,Aptosimum albomarginatum,Aptosimum albomarginatum,3727356,Aptosimum albomarginatum Marloth & Engl.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Aptosimum,6,7707728,220,408,2390,3727322
aptosimumlineare,Aptosimum lineare,Aptosimum lineare,3727574,Aptosimum lineare Marloth & Engl.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Aptosimum,6,7707728,220,408,2390,3727322
apusmelba,Apus melba,Apus melba,5228684,"Apus melba (Linnaeus, 1758)",SPECIES,Animalia,Chordata,Aves,Apodiformes,Apodidae,Apus,1,44,212,1448,2993,2235048
aquilarapax,Aquila rapax,Aquila rapax,2480514,"Aquila rapax (Temminck, 1828)",SPECIES,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Aquila,1,44,212,7191147,2877,2480498
araneae,Araneae,Araneae,1496,Araneae,ORDER,Animalia,Arthropoda,Arachnida,Araneae,,,1,54,367,1496,,
ardeotiskori,Ardeotis kori,Ardeotis kori,2474909,"Ardeotis kori (Burchell, 1822)",SPECIES,Animalia,Chordata,Aves,Otidiformes,Otididae,Ardeotis,1,44,212,8708973,9610,8518978
argasidae,Argasidae,Argasidae,9168,Argasidae,FAMILY,Animalia,Arthropoda,Arachnida,Ixodida,Argasidae,,1,54,367,1425,9168,
argemoneochroleuca,Argemone ochroleuca,Argemone ochroleuca,2888490,Argemone ochroleuca Sweet,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Argemone,6,7707728,220,399,2422,2888474
argiope,Argiope,Argiope,2158616,"Argiope Audouin, 1826",GENUS,Animalia,Arthropoda,Arachnida,Araneae,Araneidae,Argiope,1,54,367,1496,7359,2158616
aristidacongesta,Aristida congesta,Aristida congesta,4128792,Aristida congesta Roem. & Schult.,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Aristida,6,7707728,196,1369,3073,2706249
aristidameridionalis,Aristida meridionalis,Aristida meridionalis,4125551,Aristida meridionalis Henrard,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Aristida,6,7707728,196,1369,3073,2706249
aristidapilgeri,Aristida pilgeri,Aristida pilgeri,4124470,Aristida pilgeri Henrard,SPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Aristida,6,7707728,196,1369,3073,2706249
aristidastipitatastipitata,Aristida stipitata stipitata,Aristida stipitata stipitata,7226861,Aristida stipitata subsp. stipitata,SUBSPECIES,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Aristida,6,7707728,196,1369,3073,2706249
asclepiasfruticosa,Asclepias fruticosa,Gomphocarpus fruticosus fruticosus,7311940,Gomphocarpus fruticosus subsp. fruticosus,SUBSPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Gomphocarpus,6,7707728,220,412,6701,6415904
asparagus,Asparagus,Asparagus,9527393,Asparagus L.,GENUS,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
asparagusafricanus,Asparagus africanus,Asparagus africanus,2768551,Asparagus africanus Lam.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
asparagusbechuanicus,Asparagus bechuanicus,Asparagus psilurus,2768848,Asparagus psilurus Welw. ex Baker,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
asparagusexuvialis,Asparagus exuvialis,Asparagus exuvialis,2769013,Asparagus exuvialis Burch.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
asparaguslaricinus,Asparagus laricinus,Asparagus laricinus,2768465,Asparagus laricinus Burch.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
asparagusnelsii,Asparagus nelsii,Asparagus nelsii,2768526,Asparagus nelsii Schinz,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
asparagussuaveolens,Asparagus suaveolens,Asparagus suaveolens,2768491,Asparagus suaveolens Burch.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,6,7707728,196,1169,7683,9527393
aspidelapsscutatus,Aspidelaps scutatus,Aspidelaps scutatus,2470001,"Aspidelaps scutatus Smith, 1849",SPECIES,Animalia,Chordata,Reptilia,Squamata,Elapidae,Aspidelaps,1,44,358,715,9455,2443749
atelerixfrontalis,Atelerix frontalis,Atelerix frontalis,2437132,"Atelerix frontalis (A.Smith, 1831)",SPECIES,Animalia,Chordata,Mammalia,Erinaceomorpha,Erinaceidae,Atelerix,1,44,359,829,5722,2437131
atilaxpaludinosus,Atilax paludinosus,Atilax paludinosus,2434188,Atilax paludinosus G,SPECIES,Animalia,Chordata,Mammalia,Carnivora,Herpestidae,Atilax,1,44,359,732,9678,2434187
atractaspisbibronii,Atractaspis bibronii,Atractaspis bibronii,2472573,"Atractaspis bibronii Smith, 1849",SPECIES,Animalia,Chordata,Reptilia,Squamata,Lamprophiidae,Atractaspis,1,44,358,715,5789868,2469991
aves,Aves,Aves,212,Aves,CLASS,Animalia,Chordata,Aves,,,,1,44,212,,,
babianahypogea,Babiana hypogea,Babiana hypogea,2746325,Babiana hypogea Burch.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Iridaceae,Babiana,6,7707728,196,1169,7698,10660470
baikiaeaplurijuga,Baikiaea plurijuga,Baikiaea plurijuga,2943830,Baikiaea plurijuga Harms,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Baikiaea,6,7707728,220,1370,5386,2943819
baisseawulfhorstii,Baissea wulfhorstii,Baissea wulfhorstii,3615746,Baissea wulfhorstii Schinz,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Baissea,6,7707728,220,412,6701,7316704
baphiamassaiensis,Baphia massaiensis,Baphia massaiensis,5352622,Baphia massaiensis Taub.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Baphia,6,7707728,220,1370,5386,2954106
barleriapretoriensis,Barleria pretoriensis,Barleria pretoriensis,3771385,Barleria pretoriensis C.B.Clarke,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Barleria,6,7707728,220,408,2393,3173125
batismolitor,Batis molitor,Batis molitor,5231186,"Batis molitor (Kuster, 1836)",SPECIES,Animalia,Chordata,Aves,Passeriformes,Platysteiridae,Batis,1,44,212,729,9335,2492286
bauhiniapetersiana,Bauhinia petersiana,Bauhinia petersiana,2953735,Bauhinia petersiana Bolle,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,6,7707728,220,1370,5386,2952935
bauhiniaurbaniana,Bauhinia urbaniana,Bauhinia urbaniana,2953138,Bauhinia urbaniana Schinz,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Bauhinia,6,7707728,220,1370,5386,2952935
belostomatidae,Belostomatidae,Belostomatidae,4305,Belostomatidae,FAMILY,Animalia,Arthropoda,Insecta,Hemiptera,Belostomatidae,,1,54,216,809,4305,
berchemiazeyheri,Berchemia zeyheri,Berchemia zeyheri,3875984,Berchemia zeyheri (Sond.) Grubov,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rhamnaceae,Berchemia,6,7707728,220,691,2407,3039505
berkheyaradula,Berkheya radula,Berkheya radula,3115316,Berkheya radula Burtt Davy,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Berkheya,6,7707728,220,414,3065,3115145
bitisarietans,Bitis arietans,Bitis arietans,8901465,"Bitis arietans Merrem, 1820",SPECIES,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,1,44,358,715,5024,2444943
bitiscaudalis,Bitis caudalis,Bitis caudalis,2444829,"Bitis caudalis (Smith, 1839)",SPECIES,Animalia,Chordata,Reptilia,Squamata,Viperidae,Bitis,1,44,358,715,5024,2444943
blaberidae,Blaberidae,Blaberidae,5521,Blaberidae,FAMILY,Animalia,Arthropoda,Insecta,Blattodea,Blaberidae,,1,54,216,800,5521,
blattodea,Blattodea,Blattodea,800,Blattodea,ORDER,Animalia,Arthropoda,Insecta,Blattodea,,,1,54,216,800,,
blepharisdiversispina,Blepharis diversispina,Blepharis diversispina,5575703,Blepharis diversispina C.B.Clarke,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Blepharis,6,7707728,220,408,2393,3233799
blepharismaderaspatensis,Blepharis maderaspatensis,Blepharis maderaspatensis,5575447,Blepharis maderaspatensis Heyne ex Roth,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Blepharis,6,7707728,220,408,2393,3233799
blepharistenuiramea,Blepharis tenuiramea,Blepharis tenuiramea,5575248,Blepharis tenuiramea S.Moore,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Acanthaceae,Blepharis,6,7707728,220,408,2393,3233799
boophonedisticha,Boophone disticha,Boophone disticha,2854664,Boophone disticha (L.f.) Herb.,SPECIES,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Boophone,6,7707728,196,1169,7682,2773898
bosciaalbitrunca,Boscia albitrunca,Boscia albitrunca,5602556,Boscia albitrunca Gilg & Gilg-Ben.,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Boscia,6,7707728,220,7225535,3111,8226638
bosciafoetida,Boscia foetida,Boscia foetida,7273475,Boscia foetida Schinz,SPECIES,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Capparaceae,Boscia,6,7707728,220,7225535,3111,8226638
bostaurus,Bos taurus,Bos taurus,2441022,"Bos taurus Linnaeus, 1758",SPECIES,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,1,44,359,731,9614,2441017
